WSI,EG_EL_ABBREVIATION,TIME,DT,VALUE,FLAG1,QUALITY
0-203-0-11201020001,SCE,06:00,1961-05-29T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-05-30T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-05-31T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-01T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-02T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-03T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-04T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-05T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-06T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-07T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-08T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-09T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-10T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-11T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-12T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-13T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-14T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-15T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-16T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-17T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-18T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-19T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-20T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-21T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-22T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-23T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-24T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-25T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-26T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-27T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-28T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-29T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-06-30T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-01T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-02T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-03T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-04T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-05T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-06T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-07T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-08T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-09T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-10T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-11T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-12T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-13T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-14T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-15T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-16T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-17T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-18T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-19T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-20T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-21T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-22T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-23T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-24T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-25T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-26T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-27T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-28T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-29T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-30T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-07-31T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-01T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-02T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-03T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-04T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-05T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-06T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-07T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-08T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-09T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-10T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-11T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-12T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-13T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-14T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-15T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-16T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-17T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-18T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-19T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-20T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-21T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-22T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-23T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-24T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-25T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-26T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-27T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-28T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-29T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-30T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-08-31T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-01T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-02T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-03T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-04T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-05T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-06T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-07T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-08T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-09T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-10T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-11T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-12T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-13T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-14T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-15T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-16T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-17T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-18T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-19T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-20T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-21T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-22T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-23T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-24T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-25T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-26T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-27T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-28T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-29T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-09-30T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-01T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-02T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-03T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-04T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-05T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-06T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-07T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-08T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-09T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-10T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-11T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-12T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-13T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-14T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-15T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-16T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-17T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-18T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-19T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-20T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-21T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-22T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-23T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-24T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-25T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-26T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-27T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-28T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-29T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-30T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-10-31T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-11-01T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-11-02T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-11-03T06:00Z,0.0,,0.0
