Období,Vstup,Výstup,Obrat
12.7.2021,643983,641657,1285640
13.7.2021,667383,662921,1330304
14.7.2021,678079,669293,1347372
15.7.2021,690936,687448,1378384
16.7.2021,645757,638094,1283851
17.7.2021,361783,352449,714232
18.7.2021,343315,336000,679315
19.7.2021,661275,655572,1316847
20.7.2021,677964,672620,1350584
21.7.2021,693866,689419,1383285
22.7.2021,670219,665678,1335897
23.7.2021,617091,611620,1228711
24.7.2021,370175,363794,733969
25.7.2021,329281,322924,652205
26.7.2021,651082,643384,1294466
27.7.2021,679242,673704,1352946
28.7.2021,689964,680570,1370534
29.7.2021,671338,666381,1337719
30.7.2021,618981,612514,1231495
31.7.2021,382048,373938,755986
1.8.2021,308766,299833,608599
2.8.2021,658848,652568,1311416
3.8.2021,682781,677801,1360582
4.8.2021,686037,681684,1367721
5.8.2021,664318,656064,1320382
6.8.2021,617942,611873,1229815
7.8.2021,412925,406868,819793
8.8.2021,358385,353646,712031
9.8.2021,664965,662458,1327423
10.8.2021,695059,689131,1384190
11.8.2021,707575,701136,1408711
12.8.2021,683576,681209,1364785
13.8.2021,629330,622187,1251517
14.8.2021,395867,386354,782221
15.8.2021,354638,345222,699860
16.8.2021,664605,658096,1322701
17.8.2021,696360,689489,1385849
18.8.2021,710186,702461,1412647
19.8.2021,688941,679411,1368352
20.8.2021,635947,628924,1264871
21.8.2021,411065,402813,813878
22.8.2021,345522,336422,681944
23.8.2021,676366,671119,1347485
24.8.2021,695186,687591,1382777
25.8.2021,742619,736591,1479210
26.8.2021,697917,688859,1386776
27.8.2021,651202,646323,1297525
28.8.2021,400267,394275,794542
29.8.2021,361855,356238,718093
30.8.2021,734046,731102,1465148
31.8.2021,738507,733255,1471762
1.9.2021,821993,820171,1642164
2.9.2021,810094,809282,1619376
3.9.2021,765338,761370,1526708
4.9.2021,429620,422126,851746
5.9.2021,372756,365772,738528
6.9.2021,794560,790766,1585326
7.9.2021,816627,811204,1627831
8.9.2021,841368,837596,1678964
9.9.2021,816844,808616,1625460
10.9.2021,773385,766844,1540229
11.9.2021,430361,418544,848905
12.9.2021,374208,369018,743226
13.9.2021,808303,804563,1612866
14.9.2021,835568,832111,1667679
15.9.2021,860057,856513,1716570
16.9.2021,852066,842311,1694377
17.9.2021,792066,787932,1579998
18.9.2021,438840,431355,870195
19.9.2021,384452,377951,762403
20.9.2021,824029,821729,1645758
21.9.2021,847760,844564,1692324
22.9.2021,864911,860417,1725328
23.9.2021,862381,859686,1722067
