datum,den,Tramvaje,Autobusy
1.1.2021,pátek,245202,207847
2.1.2021,sobota,251485,221251
3.1.2021,neděle,243140,219564
4.1.2021,pondělí,496796,445864
5.1.2021,úterý,484201,439471
6.1.2021,středa,492332,439127
7.1.2021,čtvrtek,486279,438937
8.1.2021,pátek,486581,415693
9.1.2021,sobota,248398,222932
10.1.2021,neděle,246166,219736
11.1.2021,pondělí,537011,460817
12.1.2021,úterý,542000,467233
13.1.2021,středa,541869,471365
14.1.2021,čtvrtek,569082,457392
15.1.2021,pátek,515857,430912
16.1.2021,sobota,284541,235683
17.1.2021,neděle,271000,233617
18.1.2021,pondělí,505369,450894
19.1.2021,úterý,543784,461287
20.1.2021,středa,565764,485130
21.1.2021,čtvrtek,519642,463849
22.1.2021,pátek,531011,446607
23.1.2021,sobota,282882,242565
24.1.2021,neděle,271892,231925
25.1.2021,pondělí,560721,475927
26.1.2021,úterý,497917,452282
27.1.2021,středa,562105,485540
28.1.2021,čtvrtek,526601,466935
29.1.2021,pátek,484419,394484
30.1.2021,sobota,281053,242770
31.1.2021,neděle,280361,237964
1.2.2021,pondělí,539104,485970
2.2.2021,úterý,557779,467159
3.2.2021,středa,539054,473522
4.2.2021,čtvrtek,562582,491173
5.2.2021,pátek,528983,450438
6.2.2021,sobota,281291,245587
7.2.2021,neděle,278890,236761
8.2.2021,pondělí,536806,496760
9.2.2021,úterý,552965,481204
10.2.2021,středa,579534,486670
11.2.2021,čtvrtek,568213,470610
12.2.2021,pátek,519036,447213
13.2.2021,sobota,289767,248380
14.2.2021,neděle,284107,243335
15.2.2021,pondělí,547620,470548
16.2.2021,úterý,531083,470367
17.2.2021,středa,558389,486325
18.2.2021,čtvrtek,533103,465226
19.2.2021,pátek,510969,446253
20.2.2021,sobota,279195,243163
21.2.2021,neděle,273810,235274
22.2.2021,pondělí,529864,457921
23.2.2021,úterý,544171,455091
24.2.2021,středa,546470,461255
25.2.2021,čtvrtek,524427,448427
26.2.2021,pátek,467748,418633
27.2.2021,sobota,273235,230628
28.2.2021,neděle,272086,228961
1.3.2021,pondělí,445075,383286
2.3.2021,úterý,410421,377333
3.3.2021,středa,453773,381296
4.3.2021,čtvrtek,426299,377236
5.3.2021,pátek,407294,364936
6.3.2021,sobota,226887,190648
7.3.2021,neděle,222538,188667
8.3.2021,pondělí,467005,394080
9.3.2021,úterý,452651,385690
10.3.2021,středa,478535,408420
11.3.2021,čtvrtek,467312,394084
12.3.2021,pátek,451550,393638
13.3.2021,sobota,239268,204210
14.3.2021,neděle,233656,197042
15.3.2021,pondělí,455501,401727
16.3.2021,úterý,461005,400526
17.3.2021,středa,469339,404296
18.3.2021,čtvrtek,450620,406407
19.3.2021,pátek,410459,396130
20.3.2021,sobota,234670,203204
21.3.2021,neděle,230503,202148
22.3.2021,pondělí,499436,425522
23.3.2021,úterý,473397,408755
24.3.2021,středa,499311,425855
25.3.2021,čtvrtek,500812,433788
26.3.2021,pátek,516790,427410
27.3.2021,sobota,258395,216894
28.3.2021,neděle,250406,213705
29.3.2021,pondělí,522718,440619
30.3.2021,úterý,548095,460166
31.3.2021,středa,594107,468185
1.4.2021,čtvrtek,573383,469928
2.4.2021,pátek,0,234964
3.4.2021,sobota,286692,0
4.4.2021,neděle,286692,0
5.4.2021,pondělí,0,0
6.4.2021,úterý,490221,428490
7.4.2021,středa,522072,451147
8.4.2021,čtvrtek,523860,444640
9.4.2021,pátek,526312,447514
10.4.2021,sobota,263156,225574
11.4.2021,neděle,261930,223757
12.4.2021,pondělí,542682,467735
13.4.2021,úterý,595989,489535
14.4.2021,středa,611931,501913
15.4.2021,čtvrtek,592923,494275
16.4.2021,pátek,526556,458686
17.4.2021,sobota,305966,250957
18.4.2021,neděle,297995,247138
19.4.2021,pondělí,577024,497921
20.4.2021,úterý,626897,514625
21.4.2021,středa,627718,522158
22.4.2021,čtvrtek,606412,514732
23.4.2021,pátek,645390,481120
24.4.2021,sobota,322695,261079
25.4.2021,neděle,313859,257366
26.4.2021,pondělí,621352,532073
27.4.2021,úterý,646731,537272
28.4.2021,středa,679611,543292
29.4.2021,čtvrtek,647601,526528
30.4.2021,pátek,644071,504599
1.5.2021,sobota,339806,271646
2.5.2021,neděle,323801,268636
3.5.2021,pondělí,678821,547457
4.5.2021,úterý,654875,548072
5.5.2021,středa,676859,571038
6.5.2021,čtvrtek,667556,540890
7.5.2021,pátek,604675,500513
8.5.2021,sobota,339411,285519
9.5.2021,neděle,338430,274036
10.5.2021,pondělí,761141,595191
11.5.2021,úterý,734186,592632
12.5.2021,středa,703494,568092
13.5.2021,čtvrtek,686922,560793
14.5.2021,pátek,677983,540220
15.5.2021,sobota,380571,297596
16.5.2021,neděle,367093,296316
17.5.2021,pondělí,735582,618187
18.5.2021,úterý,760935,626931
19.5.2021,středa,792663,640499
20.5.2021,čtvrtek,770723,655933
21.5.2021,pátek,710914,607637
22.5.2021,sobota,396332,327967
23.5.2021,neděle,385362,320250
24.5.2021,pondělí,815163,670904
25.5.2021,úterý,778927,670869
26.5.2021,středa,778312,678592
27.5.2021,čtvrtek,800459,671850
28.5.2021,pátek,744473,629994
29.5.2021,sobota,407582,339296
